"","itemid","label","fluid","category"
"55",51214,"Fibrinogen, Functional","Blood","Hematology"
"56",51007,"Uric Acid","Blood","Chemistry"
"57",51257,"Nucleated Red Cells","Blood","Hematology"
"58",51148,"Blasts","Blood","Hematology"
"59",51260,"Ovalocytes","Blood","Hematology"
"60",50862,"Albumin","Blood","Chemistry"
"61",51296,"Teardrop Cells","Blood","Hematology"
"62",52135,"Immature Granulocytes","Blood","Hematology"
"63",51087,"Length of Urine Collection","Urine","Chemistry"
"64",51082,"Creatinine, Urine","Urine","Chemistry"
"65",51512,"Urine Mucous","Urine","Hematology"
"66",51498,"Specific Gravity","Urine","Hematology"
"67",51464,"Bilirubin","Urine","Hematology"
"68",51476,"Epithelial Cells","Urine","Hematology"
"69",51506,"Urine Appearance","Urine","Hematology"
"70",51484,"Ketone","Urine","Hematology"
"71",51508,"Urine Color","Urine","Hematology"
"72",51487,"Nitrite","Urine","Hematology"
"73",51463,"Bacteria","Urine","Hematology"
"74",51491,"pH","Urine","Hematology"
"75",51492,"Protein","Urine","Hematology"
"76",51478,"Glucose","Urine","Hematology"
"77",51514,"Urobilinogen","Urine","Hematology"
"78",51486,"Leukocytes","Urine","Hematology"
"79",51519,"Yeast","Urine","Hematology"
"80",51516,"WBC","Urine","Hematology"
"81",51493,"RBC","Urine","Hematology"
"82",51466,"Blood","Urine","Hematology"
"83",51259,"Other Cells","Blood","Hematology"
"84",50976,"Protein, Total","Blood","Chemistry"
"85",50930,"Globulin","Blood","Chemistry"
"86",50924,"Ferritin","Blood","Chemistry"
"87",51613,"eAG","Blood","Chemistry"
"88",50852,"% Hemoglobin A1c","Blood","Chemistry"
"89",50910,"Creatine Kinase (CK)","Blood","Chemistry"
"90",50933,"Green Top Hold (plasma)","Blood","Chemistry"
"91",50979,"Red Top Hold","Blood","Chemistry"
"92",50955,"Light Green Top Hold","Blood","Chemistry"
"93",51219,"H/O Smear","Blood","Hematology"
"94",51292,"Spherocytes","Blood","Hematology"
"95",51283,"Reticulocyte Count, Automated","Blood","Hematology"
"96",51282,"Reticulocyte Count, Absolute","Blood","Hematology"
"97",51658,"HPE2","Blood","Chemistry"
"98",50943,"Hepatitis C Virus Antibody","Blood","Chemistry"
"99",50940,"Hepatitis B Surface Antibody","Blood","Chemistry"
"100",50942,"Hepatitis B Virus Core Antibody","Blood","Chemistry"
"101",51657,"HPE1","Blood","Chemistry"
"102",51663,"HPE7","Blood","Chemistry"
"103",50941,"Hepatitis B Surface Antigen","Blood","Chemistry"
"104",51659,"HPE3","Blood","Chemistry"
"105",50935,"Haptoglobin","Blood","Chemistry"
"106",51263,"Plasma Cells","Blood","Hematology"
"107",51010,"Vitamin B12","Blood","Chemistry"
"108",50993,"Thyroid Stimulating Hormone","Blood","Chemistry"
"109",50967,"Phenytoin","Blood","Chemistry"
"110",50831,"pH","Other Body Fluid","Blood Gas"
"111",51009,"Vancomycin","Blood","Chemistry"
"112",50841,"Creatinine, Ascites","Ascites","Chemistry"
"113",50843,"Lactate Dehydrogenase, Ascites","Ascites","Chemistry"
"114",50838,"Bilirubin, Total, Ascites","Ascites","Chemistry"
"115",50849,"Total Protein, Ascites","Ascites","Chemistry"
"116",50835,"Albumin, Ascites","Ascites","Chemistry"
"117",51123,"Other","Ascites","Hematology"
"118",51114,"Eosinophils","Ascites","Hematology"
"119",51116,"Lymphocytes","Ascites","Hematology"
"120",51120,"Monocytes","Ascites","Hematology"
"121",51117,"Macrophage","Ascites","Hematology"
"122",51125,"Polys","Ascites","Hematology"
"123",51118,"Mesothelial Cell","Ascites","Hematology"
"124",52065,"Total Nucleated Cells, Ascites","Ascites","Hematology"
"125",51127,"RBC, Ascites","Ascites","Hematology"
"126",50919,"EDTA Hold","Blood","Chemistry"
"127",50956,"Lipase","Blood","Chemistry"
"128",50824,"Sodium, Whole Blood","Blood","Blood Gas"
"129",52033,"Specimen Type","Blood","Blood Gas"
"130",50820,"pH","Blood","Blood Gas"
"131",50821,"pO2","Blood","Blood Gas"
"132",50817,"Oxygen Saturation","Blood","Blood Gas"
"133",50813,"Lactate","Blood","Blood Gas"
"134",50818,"pCO2","Blood","Blood Gas"
"135",50802,"Base Excess","Blood","Blood Gas"
"136",50804,"Calculated Total CO2","Blood","Blood Gas"
"137",51287,"Schistocytes","Blood","Hematology"
"138",50867,"Amylase","Blood","Chemistry"
"139",50808,"Free Calcium","Blood","Blood Gas"
"140",50975,"Protein Electrophoresis","Blood","Chemistry"
"141",51752,"Voided Specimen","Blood","Chemistry"
"142",51706,"Problem Specimen","Blood","Chemistry"
"143",51147,"Bite Cells","Blood","Hematology"
"144",51195,"Collagen","Blood","Hematology"
"145",51135,"ADP","Blood","Hematology"
"146",51142,"Arachadonic Acid","Blood","Hematology"
"147",51108,"Urine Volume","Urine","Chemistry"
"148",51094,"pH","Urine","Chemistry"
"149",51067,"24 hr Creatinine","Urine","Chemistry"
"150",51104,"Urea Nitrogen, Urine","Urine","Chemistry"
"151",51078,"Chloride, Urine","Urine","Chemistry"
"152",51097,"Potassium, Urine","Urine","Chemistry"
"153",51100,"Sodium, Urine","Urine","Chemistry"
"154",51101,"Total Collection Time","Urine","Chemistry"
"155",51080,"Creatinine Clearance","Urine","Chemistry"
"156",51106,"Urine Creatinine","Urine","Chemistry"
"157",51109,"Urine Volume, Total","Urine","Chemistry"
"158",51081,"Creatinine, Serum","Urine","Chemistry"
"159",51102,"Total Protein, Urine","Urine","Chemistry"
"160",51069,"Albumin, Urine","Urine","Chemistry"
"161",51070,"Albumin/Creatinine, Urine","Urine","Chemistry"
"162",51305,"CD117","Bone Marrow","Hematology"
"163",51338,"Immunophenotyping","Bone Marrow","Hematology"
"164",51310,"CD15","Bone Marrow","Hematology"
"165",51325,"CD45","Bone Marrow","Hematology"
"166",51307,"CD13","Bone Marrow","Hematology"
"167",51321,"CD34","Bone Marrow","Hematology"
"168",50986,"tacroFK","Blood","Chemistry"
"169",50949,"Immunoglobulin A","Blood","Chemistry"
"170",50951,"Immunoglobulin M","Blood","Chemistry"
"171",50950,"Immunoglobulin G","Blood","Chemistry"
"172",50974,"Prostate Specific Antigen","Blood","Chemistry"
"173",51003,"Troponin T","Blood","Chemistry"
"174",50911,"Creatine Kinase, MB Isoenzyme","Blood","Chemistry"
"175",50908,"CK-MB Index","Blood","Chemistry"
"176",50917,"Digoxin","Blood","Chemistry"
"177",50887,"Blue Top Hold","Blood","Chemistry"
"178",50946,"Human Chorionic Gonadotropin","Blood","Chemistry"
"179",51103,"Uhold","Urine","Chemistry"
"180",50889,"C-Reactive Protein","Blood","Chemistry"
"181",50965,"Parathyroid Hormone","Blood","Chemistry"
"182",51093,"Osmolality, Urine","Urine","Chemistry"
"183",50964,"Osmolality, Measured","Blood","Chemistry"
"184",50809,"Glucose","Blood","Blood Gas"
"185",50822,"Potassium, Whole Blood","Blood","Blood Gas"
"186",50812,"Intubated","Blood","Blood Gas"
"187",50963,"NTproBNP","Blood","Chemistry"
"188",50836,"Amylase, Ascites","Ascites","Chemistry"
"189",50856,"Acetaminophen","Blood","Chemistry"
"190",51733,"STX2","Blood","Chemistry"
"191",50999,"Tricyclic Antidepressant Screen","Blood","Chemistry"
"192",50981,"Salicylate","Blood","Chemistry"
"193",51732,"STX1","Blood","Chemistry"
"194",51734,"STX3","Blood","Chemistry"
"195",50922,"Ethanol","Blood","Chemistry"
"196",51737,"STX6","Blood","Chemistry"
"197",50957,"Lithium","Blood","Chemistry"
"198",51218,"Granulocyte Count","Blood","Hematology"
"199",51134,"Acanthocytes","Blood","Hematology"
"200",52171,"RBC Morphology","Blood","Hematology"
"201",51107,"Urine tube, held","Urine","Chemistry"
"202",51269,"Promyelocytes","Blood","Hematology"
"203",50879,"Barbiturate Screen","Blood","Chemistry"
"204",50880,"Benzodiazepine Screen","Blood","Chemistry"
"205",51482,"Hyaline Casts","Urine","Hematology"
"206",51462,"Amorphous Crystals","Urine","Hematology"
"207",51000,"Triglycerides","Blood","Chemistry"
"208",50907,"Cholesterol, Total","Blood","Chemistry"
"209",50905,"Cholesterol, LDL, Calculated","Blood","Chemistry"
"210",50904,"Cholesterol, HDL","Blood","Chemistry"
"211",50903,"Cholesterol Ratio (Total/HDL)","Blood","Chemistry"
"212",50864,"Alpha-Fetoprotein","Blood","Chemistry"
"213",50842,"Glucose, Ascites","Ascites","Chemistry"
"214",51110,"Atypical Lymphocytes","Ascites","Hematology"
"215",51115,"Hematocrit, Ascites","Ascites","Hematology"
"216",51261,"Pappenheimer Bodies","Blood","Hematology"
"217",51294,"Target Cells","Blood","Hematology"
"218",51213,"Fibrin Degradation Products","Blood","Hematology"
"219",51076,"Bicarbonate, Urine","Urine","Chemistry"
"220",51099,"Protein/Creatinine Ratio","Urine","Chemistry"
"221",51079,"Cocaine, Urine","Urine","Chemistry"
"222",51075,"Benzodiazepine Screen, Urine","Urine","Chemistry"
"223",51071,"Amphetamine Screen, Urine","Urine","Chemistry"
"224",51090,"Methadone, Urine","Urine","Chemistry"
"225",51074,"Barbiturate Screen, Urine","Urine","Chemistry"
"226",51092,"Opiate Screen, Urine","Urine","Chemistry"
"227",51197,"Elliptocytes","Blood","Hematology"
"228",52111,"Echinocytes","Blood","Hematology"
"229",51145,"Basophilic Stippling","Blood","Hematology"
"230",50883,"Bilirubin, Direct","Blood","Chemistry"
"231",50884,"Bilirubin, Indirect","Blood","Chemistry"
"232",51288,"Sedimentation Rate","Blood","Hematology"
"233",50900,"Carcinoembyronic Antigen (CEA)","Blood","Chemistry"
"234",51865,"Influenza A by PCR","Other Body Fluid","Chemistry"
"235",51873,"Influenza B by PCR","Other Body Fluid","Chemistry"
"236",50909,"Cortisol","Blood","Chemistry"
"237",50890,"C3","Blood","Chemistry"
"238",50891,"C4","Blood","Chemistry"
"239",50873,"Anti-Nuclear Antibody","Blood","Chemistry"
"240",50992,"Thyroid Peroxidase Antibodies","Blood","Chemistry"
"241",50877,"Anti-Thyroglobulin Antibodies","Blood","Chemistry"
"242",51001,"Triiodothyronine (T3)","Blood","Chemistry"
"243",50995,"Thyroxine (T4), Free","Blood","Chemistry"
"244",50853,"25-OH Vitamin D","Blood","Chemistry"
"245",50925,"Folate","Blood","Chemistry"
"246",50966,"Phenobarbital","Blood","Chemistry"
"247",51501,"Transitional Epithelial Cells","Urine","Hematology"
"248",51479,"Granular Casts","Urine","Hematology"
"249",51085,"HCG, Urine, Qualitative","Urine","Chemistry"
"250",50811,"Hemoglobin","Blood","Blood Gas"
"251",50806,"Chloride, Whole Blood","Blood","Blood Gas"
"252",50810,"Hematocrit, Calculated","Blood","Blood Gas"
"253",50997,"Tobramycin","Blood","Chemistry"
"254",51217,"Glyco A","Blood","Hematology"
"255",51164,"CD19","Blood","Hematology"
"256",51158,"CD14","Blood","Hematology"
"257",51192,"CD7","Blood","Hematology"
"258",51167,"CD2","Blood","Hematology"
"259",51239,"Lambda","Blood","Hematology"
"260",51159,"CD15","Blood","Hematology"
"261",51155,"CD11c","Blood","Hematology"
"262",51177,"CD33","Blood","Hematology"
"263",51191,"CD64","Blood","Hematology"
"264",51184,"CD5","Blood","Hematology"
"265",51183,"CD45","Blood","Hematology"
"266",51193,"CD71","Blood","Hematology"
"267",51188,"CD56","Blood","Hematology"
"268",51168,"CD20","Blood","Hematology"
"269",51182,"CD41","Blood","Hematology"
"270",51238,"Kappa","Blood","Hematology"
"271",51230,"HLA-DR","Blood","Hematology"
"272",51152,"CD10","Blood","Hematology"
"273",51234,"Immunophenotyping","Blood","Hematology"
"274",51156,"CD13","Blood","Hematology"
"275",51154,"CD117","Blood","Hematology"
"276",51194,"CD8 Cells, Percent","Blood","Hematology"
"277",51180,"CD4 Cells, Percent","Blood","Hematology"
"278",51176,"CD3 Cells, Percent","Blood","Hematology"
"279",51178,"CD34","Blood","Hematology"
"280",50952,"Iron","Blood","Chemistry"
"281",50998,"Transferrin","Blood","Chemistry"
"282",50953,"Iron Binding Capacity, Total","Blood","Chemistry"
"283",50906,"Cholesterol, LDL, Measured","Blood","Chemistry"
"284",51513,"Urine Specimen Type","Urine","Hematology"
"285",51386,"Bands","Other Body Fluid","Hematology"
"286",51431,"Monos","Other Body Fluid","Hematology"
"287",51427,"Lymphocytes","Other Body Fluid","Hematology"
"288",51436,"Polys","Other Body Fluid","Hematology"
"289",52369,"Total Nucleated Cells, Other","Other Body Fluid","Hematology"
"290",51422,"Hematocrit, Other Fluid","Other Body Fluid","Hematology"
"291",51035,"LD, Body Fluid","Other Body Fluid","Chemistry"
"292",51025,"Albumin, Body Fluid","Other Body Fluid","Chemistry"
"293",51034,"Glucose, Body Fluid","Other Body Fluid","Chemistry"
"294",51043,"Total Protein, Body Fluid","Other Body Fluid","Chemistry"
"295",51216,"Fragmented Cells","Blood","Hematology"
"296",50825,"Temperature","Blood","Blood Gas"
"297",50819,"PEEP","Blood","Blood Gas"
"298",50815,"O2 Flow","Blood","Blood Gas"
"299",50816,"Oxygen","Blood","Blood Gas"
"300",50828,"Ventilator","Blood","Blood Gas"
"301",50826,"Tidal Volume","Blood","Blood Gas"
"302",50827,"Ventilation Rate","Blood","Blood Gas"
"303",52023,"Assist/Control","Blood","Blood Gas"
"304",51383,"RBC, Joint Fluid","Joint Fluid","Hematology"
"305",52312,"Total Nucleated Cells, Joint","Joint Fluid","Hematology"
"306",51373,"Joint Crystals, Number","Joint Fluid","Hematology"
"307",51382,"Polys","Joint Fluid","Hematology"
"308",51375,"Lymphocytes","Joint Fluid","Hematology"
"309",51379,"Monocytes","Joint Fluid","Hematology"
"310",51376,"Macrophage","Joint Fluid","Hematology"
"311",50823,"Required O2","Blood","Blood Gas"
"312",50801,"Alveolar-arterial Gradient","Blood","Blood Gas"
"313",53153,"HIV Screen","Blood","Chemistry"
"314",51735,"STX4","Blood","Chemistry"
"315",52036,"Voided Specimen","Blood","Blood Gas"
"316",50872,"Anti-Neutrophil Cytoplasmic Antibody","Blood","Chemistry"
"317",51138,"Anticardiolipin Antibody IgG","Blood","Hematology"
"318",51139,"Anticardiolipin Antibody IgM","Blood","Hematology"
"319",50866,"Ammonia","Blood","Chemistry"
"320",51518,"WBC Clumps","Urine","Hematology"
"321",51095,"Phosphate, Urine","Urine","Chemistry"
"322",51077,"Calcium, Urine","Urine","Chemistry"
"323",51088,"Magnesium, Urine","Urine","Chemistry"
"324",50881,"Beta-2 Microglobulin","Blood","Chemistry"
"325",51105,"Uric Acid, Urine","Urine","Chemistry"
"326",51228,"Heparin","Blood","Hematology"
"327",51229,"Heparin, LMW","Blood","Hematology"
"328",52123,"G6PD, Qualitative","Blood","Hematology"
"329",51722,"RFXLDLM","Blood","Chemistry"
"330",51130,"Absolute CD3 Count","Blood","Hematology"
"331",51245,"Lymphocytes, Percent","Blood","Hematology"
"332",52769,"Absolute Lymphocyte Count","Blood","Hematology"
"333",51132,"Absolute CD8 Count","Blood","Hematology"
"334",51181,"CD4/CD8 Ratio","Blood","Hematology"
"335",51300,"WBC Count","Blood","Hematology"
"336",51131,"Absolute CD4 Count","Blood","Hematology"
"337",51098,"Prot. Electrophoresis, Urine","Urine","Chemistry"
"338",51086,"Immunofixation, Urine","Urine","Chemistry"
"339",51198,"Envelope Cells","Blood","Hematology"
"340",50899,"Carbamazepine","Blood","Chemistry"
"341",51150,"Blood Parasite Smear","Blood","Hematology"
"342",51424,"Immunophenotyping","Other Body Fluid","Hematology"
"343",51989,"Oxycodone","Urine","Chemistry"
"344",50876,"Anti-Smooth Muscle Antibody","Blood","Chemistry"
"345",50871,"Anti-Mitochondrial Antibody","Blood","Chemistry"
"346",50937,"Hepatitis A Virus Antibody","Blood","Chemistry"
"347",51972,"Chlamydia trachomatis","Urine","Chemistry"
"348",52018,"PAN1","Urine","Chemistry"
"349",51986,"Neisseria gonorrhoeae","Urine","Chemistry"
"350",50803,"Calculated Bicarbonate, Whole Blood","Blood","Blood Gas"
"351",52026,"Estimated GFR (MDRD equation)","Blood","Blood Gas"
"352",52024,"Creatinine, Whole Blood","Blood","Blood Gas"
"353",50892,"CA-125","Blood","Chemistry"
"354",51149,"Bleeding Time","Blood","Hematology"
"355",50915,"D-Dimer","Blood","Chemistry"
"356",51404,"CD3","Other Body Fluid","Hematology"
"357",51406,"CD34","Other Body Fluid","Hematology"
"358",51411,"CD45","Other Body Fluid","Hematology"
"359",51398,"CD19","Other Body Fluid","Hematology"
"360",50874,"Anti-Nuclear Antibody, Titer","Blood","Chemistry"
"361",50980,"Rheumatoid Factor","Blood","Chemistry"
"362",52009,"UTX6","Urine","Chemistry"
"363",52006,"UTX3","Urine","Chemistry"
"364",52010,"UTX7","Urine","Chemistry"
"365",52007,"UTX4","Urine","Chemistry"
"366",52004,"UTX1","Urine","Chemistry"
"367",52008,"UTX5","Urine","Chemistry"
"368",52005,"UTX2","Urine","Chemistry"
"369",51980,"Fentanyl","Urine","Chemistry"
"370",52020,"UTX10","Urine","Chemistry"
"371",51736,"STX5","Blood","Chemistry"
"372",51428,"Macrophage","Other Body Fluid","Hematology"
"373",51434,"Other Cell","Other Body Fluid","Hematology"
"374",51474,"Eosinophils","Urine","Hematology"
"375",51005,"Uptake Ratio","Blood","Chemistry"
"376",50895,"Calculated TBG","Blood","Chemistry"
"377",50896,"Calculated Thyroxine (T4) Index","Blood","Chemistry"
"378",50994,"Thyroxine (T4)","Blood","Chemistry"
"379",51469,"Calcium Oxalate Crystals","Urine","Hematology"
"380",52220,"wbcp","Blood","Hematology"
"381",50805,"Carboxyhemoglobin","Blood","Blood Gas"
"382",50814,"Methemoglobin","Blood","Blood Gas"
"383",51654,"HIV 1 Viral Load","Blood","Chemistry"
"384",51236,"Inpatient Hematology/Oncology Smear","Blood","Hematology"
"385",51226,"Hemogloblin A","Blood","Hematology"
"386",51224,"Hemoglobin C","Blood","Hematology"
"387",51227,"Hemogloblin S","Blood","Hematology"
"388",51276,"Quantitative G6PD","Blood","Hematology"
"389",51564,"ARCH-1","Blood","Chemistry"
"390",51243,"Lupus Anticoagulant","Blood","Hematology"
"391",51089,"Marijuana","Urine","Chemistry"
"392",50948,"Immunofixation","Blood","Chemistry"
"393",51625,"Free Kappa","Blood","Chemistry"
"394",51627,"Free Lambda","Blood","Chemistry"
"395",51626,"Free Kappa/Free Lambda Ratio","Blood","Chemistry"
"396",51457,"RBC, Pleural","Pleural","Hematology"
"397",52391,"Total Nucleated Cells, Pleural","Pleural","Hematology"
"398",51053,"Glucose, Pleural","Pleural","Chemistry"
"399",51059,"Total Protein, Pleural","Pleural","Chemistry"
"400",51054,"Lactate Dehydrogenase, Pleural","Pleural","Chemistry"
"401",51444,"Eosinophils","Pleural","Hematology"
"402",51446,"Lymphocytes","Pleural","Hematology"
"403",51455,"Polys","Pleural","Hematology"
"404",51450,"Monos","Pleural","Hematology"
"405",51460,"Blood, Occult","Stool","Hematology"
"406",52014,"Voided Specimen","Urine","Chemistry"
"407",50973,"Prolactin","Blood","Chemistry"
"408",51660,"HPE4","Blood","Chemistry"
"409",51419,"Eosinophils","Other Body Fluid","Hematology"
"410",51387,"Basophils","Other Body Fluid","Hematology"
"411",51790,"Glucose, CSF","Cerebrospinal Fluid","Chemistry"
"412",51802,"Total Protein, CSF","Cerebrospinal Fluid","Chemistry"
"413",52264,"Lymphs","Cerebrospinal Fluid","Hematology"
"414",52272,"Monocytes","Cerebrospinal Fluid","Hematology"
"415",52281,"Polys","Cerebrospinal Fluid","Hematology"
"416",52285,"RBC, CSF","Cerebrospinal Fluid","Hematology"
"417",52286,"Total Nucleated Cells, CSF","Cerebrospinal Fluid","Hematology"
"418",50918,"Double Stranded DNA","Blood","Chemistry"
"419",50991,"Thyroglobulin","Blood","Chemistry"
"420",52012,"UTX9","Urine","Chemistry"
"421",51598,"Cytomegalovirus Viral Load","Blood","Chemistry"
"422",51196,"D-Dimer","Blood","Hematology"
"423",51044,"Triglycer","Other Body Fluid","Chemistry"
"424",50927,"Gamma Glutamyltransferase","Blood","Chemistry"
"425",51497,"Renal Epithelial Cells","Urine","Hematology"
"426",51447,"Macrophages","Pleural","Hematology"
"427",51448,"Mesothelial Cells","Pleural","Hematology"
"428",51453,"Other","Pleural","Hematology"
"429",51046,"Albumin, Pleural","Pleural","Chemistry"
"430",51047,"Amylase, Pleural","Pleural","Chemistry"
"431",51454,"Plasma Cells","Pleural","Hematology"
"432",51426,"Lambda","Other Body Fluid","Hematology"
"433",51425,"Kappa","Other Body Fluid","Hematology"
"434",51412,"CD5","Other Body Fluid","Hematology"
"435",51388,"CD10","Other Body Fluid","Hematology"
"436",51400,"CD20","Other Body Fluid","Hematology"
"437",51651,"Hepatitis C Viral Load","Blood","Chemistry"
"438",51772,"PAN3","Blood","Chemistry"
"439",51051,"Cholesterol, Pleural","Pleural","Chemistry"
"440",51056,"Miscellaneous, Pleural","Pleural","Chemistry"
"441",51026,"Amylase, Body Fluid","Other Body Fluid","Chemistry"
"442",51505,"Uric Acid Crystals","Urine","Hematology"
"443",51112,"Basophils","Ascites","Hematology"
"444",51341,"Lambda","Bone Marrow","Hematology"
"445",51328,"CD56","Bone Marrow","Hematology"
"446",51324,"CD41","Bone Marrow","Hematology"
"447",51313,"CD19","Bone Marrow","Hematology"
"448",51337,"HLA-DR","Bone Marrow","Hematology"
"449",51314,"CD2","Bone Marrow","Hematology"
"450",51306,"CD11c","Bone Marrow","Hematology"
"451",51336,"Glyco A","Bone Marrow","Hematology"
"452",52955,"CD10","Bone Marrow","Hematology"
"453",51315,"CD20","Bone Marrow","Hematology"
"454",51309,"CD14","Bone Marrow","Hematology"
"455",51331,"CD64","Bone Marrow","Hematology"
"456",51320,"CD33","Bone Marrow","Hematology"
"457",51340,"Kappa","Bone Marrow","Hematology"
"458",51326,"CD5","Bone Marrow","Hematology"
"459",51332,"CD7","Bone Marrow","Hematology"
"460",51333,"CD71","Bone Marrow","Hematology"
"461",51323,"CD4","Bone Marrow","Hematology"
"462",51334,"CD8","Bone Marrow","Hematology"
"463",51319,"CD3","Bone Marrow","Hematology"
"464",51028,"Bilirubin, Total, Body Fluid","Other Body Fluid","Chemistry"
"465",52266,"Macrophage","Cerebrospinal Fluid","Hematology"
"466",51489,"NonSquamous Epithelial Cell","Urine","Hematology"
"467",51503,"Triple Phosphate Crystals","Urine","Hematology"
"468",51124,"Plasma","Ascites","Hematology"
"469",51748,"Treponema pallidum (Syphilis) Ab","Blood","Chemistry"
"470",51749,"Treponema pallidum (syphilis) value","Blood","Chemistry"
"471",51231,"Howell-Jolly Bodies","Blood","Hematology"
"472",51903,"PAN1","Other Body Fluid","Chemistry"
"473",51879,"Neisseria gonorrhoeae","Other Body Fluid","Chemistry"
"474",51846,"Chlamydia trachomatis","Other Body Fluid","Chemistry"
"475",51904,"PAN2","Other Body Fluid","Chemistry"
"476",51899,"Trichomonas vaginalis","Other Body Fluid","Chemistry"
"477",51429,"Mesothelial cells","Other Body Fluid","Hematology"
"478",50938,"Hepatitis A Virus IgM Antibody","Blood","Chemistry"
"479",51271,"Protein C, Functional","Blood","Hematology"
"480",51510,"Urine Crystals, Other","Urine","Hematology"
"481",52195,"Voided Specimen","Blood","Hematology"
"482",52425,"XUCU","Urine","Hematology"
"483",52427,"UCU2","Urine","Hematology"
"484",51369,"Hematocrit, Joint Fluid","Joint Fluid","Hematology"
"485",52419,"Voided Specimen","Urine","Hematology"
"486",51247,"MacroOvalocytes","Blood","Hematology"
"487",51515,"Waxy Casts","Urine","Hematology"
"488",51763,"EE2","Blood","Chemistry"
"489",51052,"Creatinine, Pleural","Pleural","Chemistry"
"490",51297,"Thrombin","Blood","Hematology"
"491",50840,"Cholesterol, Ascites","Ascites","Chemistry"
"492",51038,"Miscellaneous, Body Fluid","Other Body Fluid","Chemistry"
"493",51839,"Anat Path Hold","Other Body Fluid","Chemistry"
"494",50869,"Anti-DGP (IgA/IgG)","Blood","Chemistry"
"495",50996,"Tissue Transglutaminase Ab, IgA","Blood","Chemistry"
"496",51438,"RBC, Other Fluid","Other Body Fluid","Hematology"
"497",51946,"Norovirus Genogroup II","Stool","Chemistry"
"498",51945,"Norovirus Genogroup I","Stool","Chemistry"
