"icd_code","icd_version","long_title"
"4589",9,"Hypotension, unspecified"
"V5866",9,"Long-term (current) use of aspirin"
"3051",9,"Tobacco use disorder"
"5400",9,"Acute appendicitis with generalized peritonitis"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"2720",9,"Pure hypercholesterolemia"
"4019",9,"Unspecified essential hypertension"
"V4577",9,"Acquired absence of organ, genital organs"
"V1082",9,"Personal history of malignant melanoma of skin"
"2449",9,"Unspecified acquired hypothyroidism"
"34830",9,"Encephalopathy, unspecified"
"2761",9,"Hyposmolality and/or hyponatremia"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"78820",9,"Retention of urine, unspecified"
"85186",9,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"30390",9,"Other and unspecified alcohol dependence, unspecified"
"E8809",9,"Accidental fall on or from other stairs or steps"
"E8809",10,"Other disorders of plasma-protein metabolism, not elsewhere classified"
"5070",9,"Pneumonitis due to inhalation of food or vomitus"
"2910",9,"Alcohol withdrawal delirium"
"1120",9,"Candidiasis of mouth"
"78720",9,"Dysphagia, unspecified"
"4019",9,"Unspecified essential hypertension"
"34831",9,"Metabolic encephalopathy"
"3310",9,"Alzheimer's disease"
"29411",9,"Dementia in conditions classified elsewhere with behavioral disturbance"
"71590",9,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
"79902",9,"Hypoxemia"
"79092",9,"Abnormal coagulation profile"
"2639",9,"Unspecified protein-calorie malnutrition"
"43820",9,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
"2760",9,"Hyperosmolality and/or hypernatremia"
"486",9,"Pneumonia, organism unspecified"
"4439",9,"Peripheral vascular disease, unspecified"
"311",9,"Depressive disorder, not elsewhere classified"
"78321",9,"Loss of weight"
"2768",9,"Hypopotassemia"
"4019",9,"Unspecified essential hypertension"
"25002",9,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
"2810",9,"Pernicious anemia"
"5990",9,"Urinary tract infection, site not specified"
"2762",9,"Acidosis"
"V643",9,"Procedure not carried out for other reasons"
"V643",10,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident"
"41401",9,"Coronary atherosclerosis of native coronary artery"
"E8497",9,"Accidents occurring in residential institution"
"4254",9,"Other primary cardiomyopathies"
"5859",9,"Chronic kidney disease, unspecified"
"3569",9,"Unspecified hereditary and idiopathic peripheral neuropathy"
"E8790",9,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
"7843",9,"Aphasia"
"42731",9,"Atrial fibrillation"
"V1582",9,"Personal history of tobacco use"
"40390",9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
"41402",9,"Coronary atherosclerosis of autologous vein bypass graft"
"V5861",9,"Long-term (current) use of anticoagulants"
"41401",9,"Coronary atherosclerosis of native coronary artery"
"78194",9,"Facial weakness"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"99702",9,"Iatrogenic cerebrovascular infarction or hemorrhage"
"V4501",9,"Cardiac pacemaker in situ"
"V5867",9,"Long-term (current) use of insulin"
"E860",10,"Dehydration"
"J9811",10,"Atelectasis"
"N179",10,"Acute kidney failure, unspecified"
"L930",10,"Discoid lupus erythematosus"
"I10",10,"Essential (primary) hypertension"
"R002",10,"Palpitations"
"Z8781",10,"Personal history of (healed) traumatic fracture"
"I9589",10,"Other hypotension"
"R000",10,"Tachycardia, unspecified"
"E785",10,"Hyperlipidemia, unspecified"
"E871",10,"Hypo-osmolality and hyponatremia"
"Z87891",10,"Personal history of nicotine dependence"
"I308",10,"Other forms of acute pericarditis"
"J90",10,"Pleural effusion, not elsewhere classified"
"Z8639",10,"Personal history of other endocrine, nutritional and metabolic disease"
"D62",10,"Acute posthemorrhagic anemia"
"Z8249",10,"Family history of ischemic heart disease and other diseases of the circulatory system"
"E780",10,"Pure hypercholesterolemia"
"I25110",10,"Atherosclerotic heart disease of native coronary artery with unstable angina pectoris"
"Z6838",10,"Body mass index (BMI) 38.0-38.9, adult"
"K219",10,"Gastro-esophageal reflux disease without esophagitis"
"E669",10,"Obesity, unspecified"
"I10",10,"Essential (primary) hypertension"
"I2582",10,"Chronic total occlusion of coronary artery"
"I82412",10,"Acute embolism and thrombosis of left femoral vein"
"Z9181",10,"History of falling"
"I82432",10,"Acute embolism and thrombosis of left popliteal vein"
"I272",10,"Other secondary pulmonary hypertension"
"Z951",10,"Presence of aortocoronary bypass graft"
"R141",10,"Gas pain"
"Z7901",10,"Long term (current) use of anticoagulants"
"I5022",10,"Chronic systolic (congestive) heart failure"
"I472",10,"Ventricular tachycardia"
"I4891",10,"Unspecified atrial fibrillation"
"I2699",10,"Other pulmonary embolism without acute cor pulmonale"
"C9000",10,"Multiple myeloma not having achieved remission"
"D472",10,"Monoclonal gammopathy"
"Z7982",10,"Long term (current) use of aspirin"
"45620",9,"Esophageal varices in diseases classified elsewhere, with bleeding"
"5845",9,"Acute kidney failure with lesion of tubular necrosis"
"5712",9,"Alcoholic cirrhosis of liver"
"30301",9,"Acute alcoholic intoxication in alcoholism, continuous"
"5711",9,"Acute alcoholic hepatitis"
"41071",9,"Subendocardial infarction, initial episode of care"
"5722",9,"Hepatic encephalopathy"
"2866",9,"Defibrination syndrome"
"45989",9,"Other specified disorders of circulatory system"
"78959",9,"Other ascites"
"41400",9,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
"4019",9,"Unspecified essential hypertension"
"27651",9,"Dehydration"
"2724",9,"Other and unspecified hyperlipidemia"
"7802",9,"Syncope and collapse"
"7245",9,"Backache, unspecified"
"5849",9,"Acute kidney failure, unspecified"
"V4582",9,"Percutaneous transluminal coronary angioplasty status"
"0088",9,"Intestinal infection due to other organism, not elsewhere classified"
"25012",9,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
"41401",9,"Coronary atherosclerosis of native coronary artery"
"53081",9,"Esophageal reflux"
"4019",9,"Unspecified essential hypertension"
"2724",9,"Other and unspecified hyperlipidemia"
"41071",9,"Subendocardial infarction, initial episode of care"
"V707",9,"Examination of participant in clinical trial"
"V707",10,"Person on outside of bus injured in collision with pedestrian or animal in traffic accident"
"V1005",9,"Personal history of malignant neoplasm of large intestine"
"V8741",9,"Personal history of antineoplastic chemotherapy"
"78609",9,"Other respiratory abnormalities"
"7851",9,"Palpitations"
"4019",9,"Unspecified essential hypertension"
"E8499",9,"Accidents occurring in unspecified place"
"8020",9,"Closed fracture of nasal bones"
"78039",9,"Other convulsions"
"3051",9,"Tobacco use disorder"
"E9600",9,"Unarmed fight or brawl"
"30301",9,"Acute alcoholic intoxication in alcoholism, continuous"
"29181",9,"Alcohol withdrawal"
"53081",9,"Esophageal reflux"
"F17200",10,"Nicotine dependence, unspecified, uncomplicated"
"E785",10,"Hyperlipidemia, unspecified"
"Z955",10,"Presence of coronary angioplasty implant and graft"
"I25110",10,"Atherosclerotic heart disease of native coronary artery with unstable angina pectoris"
"F419",10,"Anxiety disorder, unspecified"
"Z8249",10,"Family history of ischemic heart disease and other diseases of the circulatory system"
"Z7902",10,"Long term (current) use of antithrombotics/antiplatelets"
"Z6832",10,"Body mass index (BMI) 32.0-32.9, adult"
"E669",10,"Obesity, unspecified"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"71535",9,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh"
"44102",9,"Dissection of aorta, abdominal"
"V1582",9,"Personal history of tobacco use"
"2720",9,"Pure hypercholesterolemia"
"V5867",9,"Long-term (current) use of insulin"
"4019",9,"Unspecified essential hypertension"
"41401",9,"Coronary atherosclerosis of native coronary artery"
"5641",9,"Irritable bowel syndrome"
"60000",9,"Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)"
"V1301",9,"Personal history of urinary calculi"
"4779",9,"Allergic rhinitis, cause unspecified"
"2724",9,"Other and unspecified hyperlipidemia"
"V1272",9,"Personal history of colonic polyps"
"4239",9,"Unspecified disease of pericardium"
"4111",9,"Intermediate coronary syndrome"
"41401",9,"Coronary atherosclerosis of native coronary artery"
"4019",9,"Unspecified essential hypertension"
"49390",9,"Asthma, unspecified type, unspecified"
"7291",9,"Myalgia and myositis, unspecified"
"6185",9,"Prolapse of vaginal vault after hysterectomy"
"56400",9,"Constipation, unspecified"
"5641",9,"Irritable bowel syndrome"
"E9352",9,"Other opiates and related narcotics causing adverse effects in therapeutic use"
"6186",9,"Vaginal enterocele, congenital or acquired"
"31401",9,"Attention deficit disorder with hyperactivity"
"53081",9,"Esophageal reflux"
"V1582",9,"Personal history of tobacco use"
"78052",9,"Insomnia, unspecified"
"78829",9,"Other specified retention of urine"
"311",9,"Depressive disorder, not elsewhere classified"
"9950",9,"Other anaphylactic reaction"
"V1041",9,"Personal history of malignant neoplasm of cervix uteri"
"3331",9,"Essential and other specified forms of tremor"
"30000",9,"Anxiety state, unspecified"
"4571",9,"Other lymphedema"
"44489",9,"Embolism and thrombosis of other specified artery"
"9982",9,"Accidental puncture or laceration during a procedure, not elsewhere classified"
"E8700",9,"Accidental cut, puncture, perforation or hemorrhage during surgical operation"
"V1009",9,"Personal history of malignant neoplasm of other gastrointestinal tract"
"1962",9,"Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes"
"V1042",9,"Personal history of malignant neoplasm of other parts of uterus"
"3051",9,"Tobacco use disorder"
"53240",9,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction"
"53010",9,"Esophagitis, unspecified"
"2769",9,"Electrolyte and fluid disorders not elsewhere classified"
"99592",9,"Severe sepsis"
"79902",9,"Hypoxemia"
"7904",9,"Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]"
"2764",9,"Mixed acid-base balance disorder"
"0088",9,"Intestinal infection due to other organism, not elsewhere classified"
"5533",9,"Diaphragmatic hernia without mention of obstruction or gangrene"
"E9353",9,"Salicylates causing adverse effects in therapeutic use"
"5990",9,"Urinary tract infection, site not specified"
"2761",9,"Hyposmolality and/or hyponatremia"
"04149",9,"Other and unspecified Escherichia coli [E. coli]"
"28860",9,"Leukocytosis, unspecified"
"30500",9,"Alcohol abuse, unspecified"
"51881",9,"Acute respiratory failure"
"5070",9,"Pneumonitis due to inhalation of food or vomitus"
"0389",9,"Unspecified septicemia"
"53140",9,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
"3051",9,"Tobacco use disorder"
"I10",10,"Essential (primary) hypertension"
"Z87891",10,"Personal history of nicotine dependence"
"J45909",10,"Unspecified asthma, uncomplicated"
"D62",10,"Acute posthemorrhagic anemia"
"I214",10,"Non-ST elevation (NSTEMI) myocardial infarction"
"I2510",10,"Atherosclerotic heart disease of native coronary artery without angina pectoris"
"Z7982",10,"Long term (current) use of aspirin"
"F419",10,"Anxiety disorder, unspecified"
"G4700",10,"Insomnia, unspecified"
"E669",10,"Obesity, unspecified"
"Z8249",10,"Family history of ischemic heart disease and other diseases of the circulatory system"
"Z6835",10,"Body mass index (BMI) 35.0-35.9, adult"
"Z23",10,"Encounter for immunization"
"I214",10,"Non-ST elevation (NSTEMI) myocardial infarction"
"K219",10,"Gastro-esophageal reflux disease without esophagitis"
"Z7982",10,"Long term (current) use of aspirin"
"Z7902",10,"Long term (current) use of antithrombotics/antiplatelets"
"I7102",10,"Dissection of abdominal aorta"
"1505",9,"Malignant neoplasm of lower third of esophagus"
"53081",9,"Esophageal reflux"
"53085",9,"Barrett's esophagus"
"2762",9,"Acidosis"
"2851",9,"Acute posthemorrhagic anemia"
"53240",9,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction"
"53560",9,"Duodenitis, without mention of hemorrhage"
"7200",9,"Ankylosing spondylitis"
"V641",9,"Surgical or other procedure not carried out because of contraindication"
"V641",10,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident"
"3051",9,"Tobacco use disorder"
"42731",9,"Atrial fibrillation"
"4241",9,"Aortic valve disorders"
"V5861",9,"Long-term (current) use of anticoagulants"
"78062",9,"Postprocedural fever"
"4019",9,"Unspecified essential hypertension"
"4293",9,"Cardiomegaly"
"5262",9,"Other cysts of jaws"
"5990",9,"Urinary tract infection, site not specified"
"4558",9,"Unspecified hemorrhoids with other complication"
"431",9,"Intracerebral hemorrhage"
"3314",9,"Obstructive hydrocephalus"
"42731",9,"Atrial fibrillation"
"4019",9,"Unspecified essential hypertension"
"V4987",9,"Physical restraints status"
"2724",9,"Other and unspecified hyperlipidemia"
"V5861",9,"Long-term (current) use of anticoagulants"
"V4986",9,"Do not resuscitate status"
"V1582",9,"Personal history of tobacco use"
"2749",9,"Gout, unspecified"
"71690",9,"Arthropathy, unspecified, site unspecified"
"V5867",9,"Long-term (current) use of insulin"
"V4586",9,"Bariatric surgery status"
"4019",9,"Unspecified essential hypertension"
"2724",9,"Other and unspecified hyperlipidemia"
"V5866",9,"Long-term (current) use of aspirin"
"2397",9,"Neoplasm of unspecified nature of endocrine glands and other parts of nervous system"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"311",9,"Depressive disorder, not elsewhere classified"
"V5861",9,"Long-term (current) use of anticoagulants"
"V4364",9,"Hip joint replacement"
"V4364",10,"Car passenger injured in collision with van in traffic accident"
"56409",9,"Other constipation"
"V1254",9,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
"42731",9,"Atrial fibrillation"
"78820",9,"Retention of urine, unspecified"
"73730",9,"Scoliosis [and kyphoscoliosis], idiopathic"
"75612",9,"Spondylolisthesis"
"72403",9,"Spinal stenosis, lumbar region, with neurogenic claudication"
"42731",9,"Atrial fibrillation"
"4271",9,"Paroxysmal ventricular tachycardia"
"3051",9,"Tobacco use disorder"
"4241",9,"Aortic valve disorders"
"4019",9,"Unspecified essential hypertension"
"71590",9,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
"V1582",9,"Personal history of tobacco use"
"V8741",9,"Personal history of antineoplastic chemotherapy"
"1622",9,"Malignant neoplasm of main bronchus"
"V1642",9,"Family history of malignant neoplasm of prostate"
"V163",9,"Family history of malignant neoplasm of breast"
"V163",10,"Person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident"
"99811",9,"Hemorrhage complicating a procedure"
"2449",9,"Unspecified acquired hypothyroidism"
"V4561",9,"Cataract extraction status"
"33818",9,"Other acute postoperative pain"
"V431",9,"Lens replaced by other means"
"V431",10,"Car passenger injured in collision with car, pick-up truck or van in nontraffic accident"
"E8497",9,"Accidents occurring in residential institution"
"2851",9,"Acute posthemorrhagic anemia"
"36250",9,"Macular degeneration (senile), unspecified"
"V103",9,"Personal history of malignant neoplasm of breast"
"V103",10,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal"
"51189",9,"Other specified forms of effusion, except tuberculous"
"E8786",9,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
"I4891",10,"Unspecified atrial fibrillation"
"J449",10,"Chronic obstructive pulmonary disease, unspecified"
"R6521",10,"Severe sepsis with septic shock"
"I10",10,"Essential (primary) hypertension"
"E039",10,"Hypothyroidism, unspecified"
"J189",10,"Pneumonia, unspecified organism"
"Z7901",10,"Long term (current) use of anticoagulants"
"K649",10,"Unspecified hemorrhoids"
"Z66",10,"Do not resuscitate"
"Z87891",10,"Personal history of nicotine dependence"
"E119",10,"Type 2 diabetes mellitus without complications"
"A419",10,"Sepsis, unspecified organism"
"E785",10,"Hyperlipidemia, unspecified"
"2724",9,"Other and unspecified hyperlipidemia"
"4588",9,"Other specified hypotension"
"28860",9,"Leukocytosis, unspecified"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"V4589",9,"Other postprocedural status"
"4260",9,"Atrioventricular block, complete"
"79092",9,"Abnormal coagulation profile"
"V4501",9,"Cardiac pacemaker in situ"
"4019",9,"Unspecified essential hypertension"
"78097",9,"Altered mental status"
"53140",9,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
"I9751",10,"Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure"
"I871",10,"Compression of vein"
"Y838",10,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Y92234",10,"Operating room of hospital as the place of occurrence of the external cause"
"I82422",10,"Acute embolism and thrombosis of left iliac vein"
"Z951",10,"Presence of aortocoronary bypass graft"
"Z955",10,"Presence of coronary angioplasty implant and graft"
"I25119",10,"Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris"
"E785",10,"Hyperlipidemia, unspecified"
"Z8249",10,"Family history of ischemic heart disease and other diseases of the circulatory system"
"F17210",10,"Nicotine dependence, cigarettes, uncomplicated"
"K219",10,"Gastro-esophageal reflux disease without esophagitis"
"V113",9,"Personal history of alcoholism"
"V113",10,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle"
"40390",9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
"V1083",9,"Personal history of other malignant neoplasm of skin"
"72402",9,"Spinal stenosis, lumbar region, without neurogenic claudication"
"V1202",9,"Personal history of poliomyelitis"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"V1582",9,"Personal history of tobacco use"
"V454",9,"Arthrodesis status"
"V454",10,"Person boarding or alighting a car injured in collision with railway train or railway vehicle"
"33520",9,"Amyotrophic lateral sclerosis"
"5859",9,"Chronic kidney disease, unspecified"
"34690",9,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
"53081",9,"Esophageal reflux"
"V1272",9,"Personal history of colonic polyps"
"2536",9,"Other disorders of neurohypophysis"
"1369",9,"Unspecified infectious and parasitic diseases"
"3453",9,"Grand mal status"
"4019",9,"Unspecified essential hypertension"
"34830",9,"Encephalopathy, unspecified"
"2724",9,"Other and unspecified hyperlipidemia"
"2252",9,"Benign neoplasm of cerebral meninges"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"340",9,"Multiple sclerosis"
"3485",9,"Cerebral edema"
"3240",9,"Intracranial abscess"
"3051",9,"Tobacco use disorder"
"04102",9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
"04184",9,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
"4019",9,"Unspecified essential hypertension"
"80704",9,"Closed fracture of four ribs"
"V5861",9,"Long-term (current) use of anticoagulants"
"5990",9,"Urinary tract infection, site not specified"
"5184",9,"Acute edema of lung, unspecified"
"27800",9,"Obesity, unspecified"
"82111",9,"Open fracture of shaft of femur"
"9010",9,"Injury to thoracic aorta"
"E8120",9,"Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle"
"E8495",9,"Street and highway accidents"
"3051",9,"Tobacco use disorder"
"04104",9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
"F419",10,"Anxiety disorder, unspecified"
"F10239",10,"Alcohol dependence with withdrawal, unspecified"
"F17210",10,"Nicotine dependence, cigarettes, uncomplicated"
