"","itemid","label"
"160",51069,"Albumin, Urine"
"161",51070,"Albumin/Creatinine, Urine"
"162",51305,"CD117"
"163",51338,"Immunophenotyping"
"164",51310,"CD15"
"165",51325,"CD45"
"166",51307,"CD13"
"167",51321,"CD34"
"168",50986,"tacroFK"
"169",50949,"Immunoglobulin A"
"170",50951,"Immunoglobulin M"
"171",50950,"Immunoglobulin G"
"172",50974,"Prostate Specific Antigen"
"173",51003,"Troponin T"
"174",50911,"Creatine Kinase, MB Isoenzyme"
"175",50908,"CK-MB Index"
"176",50917,"Digoxin"
"177",50887,"Blue Top Hold"
"178",50946,"Human Chorionic Gonadotropin"
"179",51103,"Uhold"
"180",50889,"C-Reactive Protein"
"181",50965,"Parathyroid Hormone"
"182",51093,"Osmolality, Urine"
"183",50964,"Osmolality, Measured"
"184",50809,"Glucose"
"185",50822,"Potassium, Whole Blood"
"186",50812,"Intubated"
"187",50963,"NTproBNP"
"188",50836,"Amylase, Ascites"
"189",50856,"Acetaminophen"
"190",51733,"STX2"
"191",50999,"Tricyclic Antidepressant Screen"
"192",50981,"Salicylate"
"193",51732,"STX1"
"194",51734,"STX3"
"195",50922,"Ethanol"
"196",51737,"STX6"
"197",50957,"Lithium"
"198",51218,"Granulocyte Count"
"199",51134,"Acanthocytes"
"200",52171,"RBC Morphology"
"201",51107,"Urine tube, held"
"202",51269,"Promyelocytes"
"203",50879,"Barbiturate Screen"
"204",50880,"Benzodiazepine Screen"
"205",51482,"Hyaline Casts"
"206",51462,"Amorphous Crystals"
"207",51000,"Triglycerides"
"208",50907,"Cholesterol, Total"
"209",50905,"Cholesterol, LDL, Calculated"
"210",50904,"Cholesterol, HDL"
"211",50903,"Cholesterol Ratio (Total/HDL)"
"212",50864,"Alpha-Fetoprotein"
"213",50842,"Glucose, Ascites"
"214",51110,"Atypical Lymphocytes"
"215",51115,"Hematocrit, Ascites"
"216",51261,"Pappenheimer Bodies"
"217",51294,"Target Cells"
"218",51213,"Fibrin Degradation Products"
"219",51076,"Bicarbonate, Urine"
"220",51099,"Protein/Creatinine Ratio"
"221",51079,"Cocaine, Urine"
"222",51075,"Benzodiazepine Screen, Urine"
"223",51071,"Amphetamine Screen, Urine"
"224",51090,"Methadone, Urine"
"225",51074,"Barbiturate Screen, Urine"
"226",51092,"Opiate Screen, Urine"
"227",51197,"Elliptocytes"
"228",52111,"Echinocytes"
"229",51145,"Basophilic Stippling"
"230",50883,"Bilirubin, Direct"
"231",50884,"Bilirubin, Indirect"
"232",51288,"Sedimentation Rate"
"233",50900,"Carcinoembyronic Antigen (CEA)"
"234",51865,"Influenza A by PCR"
"235",51873,"Influenza B by PCR"
"236",50909,"Cortisol"
"237",50890,"C3"
"238",50891,"C4"
"239",50873,"Anti-Nuclear Antibody"
"240",50992,"Thyroid Peroxidase Antibodies"
"241",50877,"Anti-Thyroglobulin Antibodies"
"242",51001,"Triiodothyronine (T3)"
"243",50995,"Thyroxine (T4), Free"
"244",50853,"25-OH Vitamin D"
"245",50925,"Folate"
"246",50966,"Phenobarbital"
"247",51501,"Transitional Epithelial Cells"
"248",51479,"Granular Casts"
"249",51085,"HCG, Urine, Qualitative"
"250",50811,"Hemoglobin"
"251",50806,"Chloride, Whole Blood"
"252",50810,"Hematocrit, Calculated"
"253",50997,"Tobramycin"
"254",51217,"Glyco A"
"255",51164,"CD19"
"256",51158,"CD14"
"257",51192,"CD7"
"258",51167,"CD2"
"259",51239,"Lambda"
"260",51159,"CD15"
"261",51155,"CD11c"
"262",51177,"CD33"
"263",51191,"CD64"
"264",51184,"CD5"
"265",51183,"CD45"
"266",51193,"CD71"
"267",51188,"CD56"
"268",51168,"CD20"
"269",51182,"CD41"
"270",51238,"Kappa"
"271",51230,"HLA-DR"
"272",51152,"CD10"
"273",51234,"Immunophenotyping"
"274",51156,"CD13"
"275",51154,"CD117"
"276",51194,"CD8 Cells, Percent"
"277",51180,"CD4 Cells, Percent"
"278",51176,"CD3 Cells, Percent"
"279",51178,"CD34"
"280",50952,"Iron"
"281",50998,"Transferrin"
"282",50953,"Iron Binding Capacity, Total"
"283",50906,"Cholesterol, LDL, Measured"
"284",51513,"Urine Specimen Type"
"285",51386,"Bands"
"286",51431,"Monos"
"287",51427,"Lymphocytes"
"288",51436,"Polys"
"289",52369,"Total Nucleated Cells, Other"
"290",51422,"Hematocrit, Other Fluid"
"291",51035,"LD, Body Fluid"
"292",51025,"Albumin, Body Fluid"
"293",51034,"Glucose, Body Fluid"
"294",51043,"Total Protein, Body Fluid"
"295",51216,"Fragmented Cells"
"296",50825,"Temperature"
"297",50819,"PEEP"
"298",50815,"O2 Flow"
"299",50816,"Oxygen"
"300",50828,"Ventilator"
"301",50826,"Tidal Volume"
"302",50827,"Ventilation Rate"
"303",52023,"Assist/Control"
"304",51383,"RBC, Joint Fluid"
"305",52312,"Total Nucleated Cells, Joint"
"306",51373,"Joint Crystals, Number"
"307",51382,"Polys"
"308",51375,"Lymphocytes"
"309",51379,"Monocytes"
"310",51376,"Macrophage"
"311",50823,"Required O2"
"312",50801,"Alveolar-arterial Gradient"
"313",53153,"HIV Screen"
"314",51735,"STX4"
"315",52036,"Voided Specimen"
"316",50872,"Anti-Neutrophil Cytoplasmic Antibody"
"317",51138,"Anticardiolipin Antibody IgG"
"318",51139,"Anticardiolipin Antibody IgM"
"319",50866,"Ammonia"
"320",51518,"WBC Clumps"
"321",51095,"Phosphate, Urine"
"322",51077,"Calcium, Urine"
"323",51088,"Magnesium, Urine"
"324",50881,"Beta-2 Microglobulin"
"325",51105,"Uric Acid, Urine"
"326",51228,"Heparin"
"327",51229,"Heparin, LMW"
"328",52123,"G6PD, Qualitative"
"329",51722,"RFXLDLM"
"330",51130,"Absolute CD3 Count"
"331",51245,"Lymphocytes, Percent"
"332",52769,"Absolute Lymphocyte Count"
"333",51132,"Absolute CD8 Count"
"334",51181,"CD4/CD8 Ratio"
"335",51300,"WBC Count"
"336",51131,"Absolute CD4 Count"
"337",51098,"Prot. Electrophoresis, Urine"
"338",51086,"Immunofixation, Urine"
"339",51198,"Envelope Cells"
"340",50899,"Carbamazepine"
"341",51150,"Blood Parasite Smear"
"342",51424,"Immunophenotyping"
"343",51989,"Oxycodone"
"344",50876,"Anti-Smooth Muscle Antibody"
"345",50871,"Anti-Mitochondrial Antibody"
"346",50937,"Hepatitis A Virus Antibody"
"347",51972,"Chlamydia trachomatis"
"348",52018,"PAN1"
"349",51986,"Neisseria gonorrhoeae"
"350",50803,"Calculated Bicarbonate, Whole Blood"
"351",52026,"Estimated GFR (MDRD equation)"
"352",52024,"Creatinine, Whole Blood"
"353",50892,"CA-125"
"354",51149,"Bleeding Time"
"355",50915,"D-Dimer"
"356",51404,"CD3"
"357",51406,"CD34"
"358",51411,"CD45"
"359",51398,"CD19"
"360",50874,"Anti-Nuclear Antibody, Titer"
"361",50980,"Rheumatoid Factor"
"362",52009,"UTX6"
"363",52006,"UTX3"
"364",52010,"UTX7"
"365",52007,"UTX4"
"366",52004,"UTX1"
"367",52008,"UTX5"
"368",52005,"UTX2"
"369",51980,"Fentanyl"
"370",52020,"UTX10"
"371",51736,"STX5"
"372",51428,"Macrophage"
"373",51434,"Other Cell"
"374",51474,"Eosinophils"
"375",51005,"Uptake Ratio"
"376",50895,"Calculated TBG"
"377",50896,"Calculated Thyroxine (T4) Index"
"378",50994,"Thyroxine (T4)"
"379",51469,"Calcium Oxalate Crystals"
"380",52220,"wbcp"
"381",50805,"Carboxyhemoglobin"
"382",50814,"Methemoglobin"
"383",51654,"HIV 1 Viral Load"
"384",51236,"Inpatient Hematology/Oncology Smear"
"385",51226,"Hemogloblin A"
"386",51224,"Hemoglobin C"
"387",51227,"Hemogloblin S"
"388",51276,"Quantitative G6PD"
"389",51564,"ARCH-1"
"390",51243,"Lupus Anticoagulant"
"391",51089,"Marijuana"
"392",50948,"Immunofixation"
"393",51625,"Free Kappa"
"394",51627,"Free Lambda"
"395",51626,"Free Kappa/Free Lambda Ratio"
"396",51457,"RBC, Pleural"
"397",52391,"Total Nucleated Cells, Pleural"
"398",51053,"Glucose, Pleural"
"399",51059,"Total Protein, Pleural"
"400",51054,"Lactate Dehydrogenase, Pleural"
"401",51444,"Eosinophils"
"402",51446,"Lymphocytes"
"403",51455,"Polys"
"404",51450,"Monos"
"405",51460,"Blood, Occult"
"406",52014,"Voided Specimen"
"407",50973,"Prolactin"
"408",51660,"HPE4"
"409",51419,"Eosinophils"
"410",51387,"Basophils"
"411",51790,"Glucose, CSF"
"412",51802,"Total Protein, CSF"
"413",52264,"Lymphs"
"414",52272,"Monocytes"
"415",52281,"Polys"
"416",52285,"RBC, CSF"
"417",52286,"Total Nucleated Cells, CSF"
"418",50918,"Double Stranded DNA"
"419",50991,"Thyroglobulin"
"420",52012,"UTX9"
"421",51598,"Cytomegalovirus Viral Load"
"422",51196,"D-Dimer"
"423",51044,"Triglycer"
"424",50927,"Gamma Glutamyltransferase"
"425",51497,"Renal Epithelial Cells"
"426",51447,"Macrophages"
"427",51448,"Mesothelial Cells"
"428",51453,"Other"
"429",51046,"Albumin, Pleural"
"430",51047,"Amylase, Pleural"
"431",51454,"Plasma Cells"
"432",51426,"Lambda"
"433",51425,"Kappa"
"434",51412,"CD5"
"435",51388,"CD10"
"436",51400,"CD20"
"437",51651,"Hepatitis C Viral Load"
"438",51772,"PAN3"
"439",51051,"Cholesterol, Pleural"
"440",51056,"Miscellaneous, Pleural"
"441",51026,"Amylase, Body Fluid"
"442",51505,"Uric Acid Crystals"
"443",51112,"Basophils"
"444",51341,"Lambda"
"445",51328,"CD56"
"446",51324,"CD41"
"447",51313,"CD19"
"448",51337,"HLA-DR"
"449",51314,"CD2"
"450",51306,"CD11c"
"451",51336,"Glyco A"
"452",52955,"CD10"
"453",51315,"CD20"
"454",51309,"CD14"
"455",51331,"CD64"
"456",51320,"CD33"
"457",51340,"Kappa"
"458",51326,"CD5"
"459",51332,"CD7"
"460",51333,"CD71"
"461",51323,"CD4"
"462",51334,"CD8"
"463",51319,"CD3"
"464",51028,"Bilirubin, Total, Body Fluid"
"465",52266,"Macrophage"
"466",51489,"NonSquamous Epithelial Cell"
"467",51503,"Triple Phosphate Crystals"
"468",51124,"Plasma"
"469",51748,"Treponema pallidum (Syphilis) Ab"
"470",51749,"Treponema pallidum (syphilis) value"
"471",51231,"Howell-Jolly Bodies"
"472",51903,"PAN1"
"473",51879,"Neisseria gonorrhoeae"
"474",51846,"Chlamydia trachomatis"
"475",51904,"PAN2"
"476",51899,"Trichomonas vaginalis"
"477",51429,"Mesothelial cells"
"478",50938,"Hepatitis A Virus IgM Antibody"
"479",51271,"Protein C, Functional"
"480",51510,"Urine Crystals, Other"
"481",52195,"Voided Specimen"
"482",52425,"XUCU"
"483",52427,"UCU2"
"484",51369,"Hematocrit, Joint Fluid"
"485",52419,"Voided Specimen"
"486",51247,"MacroOvalocytes"
"487",51515,"Waxy Casts"
"488",51763,"EE2"
"489",51052,"Creatinine, Pleural"
"490",51297,"Thrombin"
"491",50840,"Cholesterol, Ascites"
"492",51038,"Miscellaneous, Body Fluid"
"493",51839,"Anat Path Hold"
"494",50869,"Anti-DGP (IgA/IgG)"
"495",50996,"Tissue Transglutaminase Ab, IgA"
"496",51438,"RBC, Other Fluid"
"497",51946,"Norovirus Genogroup II"
"498",51945,"Norovirus Genogroup I"
